"id","exchange_id","rate_close","rate_high","rate_low","rate_open","time_close","time_open","time_period_end","time_period_start"
86783,"BTC","26835.306650547","26842.791140158","26808.124224262","26842.791140158","2023-05-22 10:59:00+00","2023-05-22 10:30:00+00","2023-05-22 11:00:00+00","2023-05-22 10:30:00+00"
86784,"BTC","26800.233763106","26839.605581173","26777.781823378","26838.302783112","2023-05-22 11:29:00+00","2023-05-22 11:00:00+00","2023-05-22 11:30:00+00","2023-05-22 11:00:00+00"
86785,"BTC","26824.821573632","26824.821573632","26791.177118549","26802.980772736","2023-05-22 11:59:00+00","2023-05-22 11:30:00+00","2023-05-22 12:00:00+00","2023-05-22 11:30:00+00"
86786,"BTC","26832.669715340","26850.016392230","26814.783884788","26827.672453868","2023-05-22 12:29:00+00","2023-05-22 12:00:00+00","2023-05-22 12:30:00+00","2023-05-22 12:00:00+00"
86787,"BTC","26751.127754629","26845.446141757","26737.091048312","26829.934040073","2023-05-22 12:59:00+00","2023-05-22 12:30:00+00","2023-05-22 13:00:00+00","2023-05-22 12:30:00+00"
86788,"BTC","26783.646646800","26800.720628450","26712.743843591","26736.023209425","2023-05-22 13:29:00+00","2023-05-22 13:00:00+00","2023-05-22 13:30:00+00","2023-05-22 13:00:00+00"
86789,"BTC","27014.692286915","27043.747551530","26779.683265270","26779.683265270","2023-05-22 13:59:00+00","2023-05-22 13:30:00+00","2023-05-22 14:00:00+00","2023-05-22 13:30:00+00"
86790,"BTC","26967.456043604","27040.739427562","26828.194029572","27007.930966734","2023-05-22 14:29:00+00","2023-05-22 14:00:00+00","2023-05-22 14:30:00+00","2023-05-22 14:00:00+00"
86791,"BTC","26930.803930579","26995.640598869","26901.223624938","26945.238868005","2023-05-22 14:59:00+00","2023-05-22 14:30:00+00","2023-05-22 15:00:00+00","2023-05-22 14:30:00+00"
86792,"BTC","26855.607027344","26968.965343037","26819.152784887","26960.182787211","2023-05-22 15:29:00+00","2023-05-22 15:00:00+00","2023-05-22 15:30:00+00","2023-05-22 15:00:00+00"
86793,"BTC","26883.752361650","26894.988475727","26854.963204118","26854.963204118","2023-05-22 15:59:00+00","2023-05-22 15:30:00+00","2023-05-22 16:00:00+00","2023-05-22 15:30:00+00"
86794,"BTC","26886.057311414","26923.081338663","26842.363699737","26878.557279461","2023-05-22 16:29:00+00","2023-05-22 16:00:00+00","2023-05-22 16:30:00+00","2023-05-22 16:00:00+00"
86795,"BTC","26854.066567020","26898.269819357","26846.982276522","26870.663355259","2023-05-22 16:59:00+00","2023-05-22 16:30:00+00","2023-05-22 17:00:00+00","2023-05-22 16:30:00+00"
86796,"BTC","26803.969625886","26901.419746782","26792.911517445","26870.031989815","2023-05-22 17:29:00+00","2023-05-22 17:00:00+00","2023-05-22 17:30:00+00","2023-05-22 17:00:00+00"
86797,"BTC","26848.104281801","26867.025410627","26799.007287093","26799.007287093","2023-05-22 17:59:00+00","2023-05-22 17:30:00+00","2023-05-22 18:00:00+00","2023-05-22 17:30:00+00"
86798,"BTC","26916.949302990","26916.949302990","26845.454480900","26854.759493960","2023-05-22 18:29:00+00","2023-05-22 18:00:00+00","2023-05-22 18:30:00+00","2023-05-22 18:00:00+00"
86799,"BTC","26876.373748992","26917.341474106","26869.924924238","26917.341474106","2023-05-22 18:59:00+00","2023-05-22 18:30:00+00","2023-05-22 19:00:00+00","2023-05-22 18:30:00+00"
86800,"BTC","26837.412052082","26881.634701993","26832.807070415","26881.634701993","2023-05-22 19:29:00+00","2023-05-22 19:00:00+00","2023-05-22 19:30:00+00","2023-05-22 19:00:00+00"
86801,"BTC","26849.938924013","26862.623119390","26828.929535791","26842.220174613","2023-05-22 19:59:00+00","2023-05-22 19:30:00+00","2023-05-22 20:00:00+00","2023-05-22 19:30:00+00"
86802,"BTC","26834.925714993","26864.881850946","26834.925714993","26863.081922029","2023-05-22 20:29:00+00","2023-05-22 20:00:00+00","2023-05-22 20:30:00+00","2023-05-22 20:00:00+00"
86803,"BTC","26900.738616111","26924.676514629","26834.864297004","26834.864297004","2023-05-22 20:59:00+00","2023-05-22 20:30:00+00","2023-05-22 21:00:00+00","2023-05-22 20:30:00+00"
86804,"BTC","26912.704519211","26946.515486858","26880.259153848","26894.276080574","2023-05-22 21:29:00+00","2023-05-22 21:00:00+00","2023-05-22 21:30:00+00","2023-05-22 21:00:00+00"
86805,"BTC","26904.285928793","26941.187423267","26898.330033402","26911.450303253","2023-05-22 21:59:00+00","2023-05-22 21:30:00+00","2023-05-22 22:00:00+00","2023-05-22 21:30:00+00"
86806,"BTC","26890.299492743","26915.746648904","26881.265854512","26903.002743232","2023-05-22 22:29:00+00","2023-05-22 22:00:00+00","2023-05-22 22:30:00+00","2023-05-22 22:00:00+00"
86807,"BTC","26875.808124748","26899.212285322","26875.808124748","26889.350695110","2023-05-22 22:59:00+00","2023-05-22 22:30:00+00","2023-05-22 23:00:00+00","2023-05-22 22:30:00+00"
86808,"BTC","26857.682501569","26874.660287456","26842.185504959","26874.434145049","2023-05-22 23:29:00+00","2023-05-22 23:00:00+00","2023-05-22 23:30:00+00","2023-05-22 23:00:00+00"
